model,name,missing_type,rho,dMAE,dACC,dF1,gainMAE,aware_mae,unaware_mae
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,0.3,0.004380211234092712,-0.027129120879120894,-0.02435087658292953,0.00048641860485076904,0.5909958332777023,0.5914822518825531
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,0.5,0.03257514536380768,-0.05460164835164835,-0.05032138668466232,0.0016919970512390137,0.6191907674074173,0.6208827644586563
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio,1.0,0.18099337816238403,-0.2774725274725275,-0.30859888018521864,0.003604590892791748,0.7676090002059937,0.7712135910987854
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,0.1,-0.001414760947227478,-0.004807692307692291,-0.004070577179465712,1.4081597328186035e-05,0.5852008610963821,0.5852149426937103
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,0.2,0.0009586811065673828,-0.013049450549450559,-0.011536089134268207,0.00016038119792938232,0.587574303150177,0.5877346843481064
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,0.3,0.00710393488407135,-0.025412087912087933,-0.02227432101166288,0.0005622208118438721,0.593719556927681,0.5942817777395248
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,0.5,0.03779439628124237,-0.05219780219780221,-0.04775899735156283,0.0016915947198867798,0.624410018324852,0.6261016130447388
ens_top2,MRF-Net（B：42+43 集成，提交模型）,text+audio+vision,1.0,0.19495898485183716,-0.32554945054945056,-0.35867948108780134,0.0020592808723449707,0.7815746068954468,0.7836338877677917
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,0.1,0.0003977566957473755,0.0,-0.00030376160890946413,1.0326504707336426e-05,0.587013378739357,0.5870237052440643
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,0.2,0.0009935349225997925,0.0006868131868131844,0.00024882828848096783,1.4007091522216797e-06,0.5876091569662094,0.5876105576753616
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,0.3,0.0016150027513504028,0.0013736263736263687,0.0012479827854613712,-7.197260856628418e-06,0.58823062479496,0.5882234275341034
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,0.5,0.0031606554985046387,-0.004464285714285698,-0.004301650738618601,-4.07099723815918e-05,0.5897762775421143,0.5897355675697327
ens_top2,MRF-Net（B：42+43 集成，提交模型）,vision,1.0,0.006768643856048584,-0.009615384615384581,-0.006969485523097063,-0.0002518296241760254,0.5933842658996582,0.5931324362754822
ours_s42,MRF-Net（单种子 42）,audio,0.1,1.1906027793884277e-05,0.0003434065934065922,0.00010062953296199884,5.137920379638672e-05,0.5862294882535934,0.5862808674573898
ours_s42,MRF-Net（单种子 42）,audio,0.2,1.9073486328125e-05,0.0006868131868131844,0.000377743886159132,4.659593105316162e-05,0.5862366557121277,0.5862832516431808
ours_s42,MRF-Net（单种子 42）,audio,0.3,-1.9088387489318848e-05,0.0006868131868131844,0.00029213553906065615,4.126131534576416e-05,0.5861984938383102,0.586239755153656
ours_s42,MRF-Net（单种子 42）,audio,0.5,-0.00014331936836242676,-0.001717032967032961,-0.0017458647715008213,3.215670585632324e-05,0.5860742628574371,0.5861064195632935
ours_s42,MRF-Net（单种子 42）,audio,1.0,-3.814697265625e-05,-0.006868131868131844,-0.006997973761660559,1.8894672393798828e-05,0.5861794352531433,0.5861983299255371
ours_s42,MRF-Net（单种子 42）,audio+vision,0.1,0.00021882355213165283,-0.0006868131868131844,-0.0007355811562267112,5.131959915161133e-05,0.5864364057779312,0.5864877253770828
ours_s42,MRF-Net（单种子 42）,audio+vision,0.2,0.0005653351545333862,-0.001717032967032961,-0.0017459478889183533,3.9711594581604004e-05,0.586782917380333,0.5868226289749146
ours_s42,MRF-Net（单种子 42）,audio+vision,0.3,0.0008636116981506348,-0.0030906593406593297,-0.0028531176774468092,5.3316354751586914e-05,0.5870811939239502,0.5871345102787018
ours_s42,MRF-Net（单种子 42）,audio+vision,0.5,0.0020479708909988403,-0.005151098901098883,-0.005107715737362878,4.6059489250183105e-05,0.5882655531167984,0.5883116126060486
ours_s42,MRF-Net（单种子 42）,audio+vision,1.0,0.0050002336502075195,-0.012362637362637319,-0.01089102654292684,-8.553266525268555e-05,0.5912178158760071,0.5911322832107544
ours_s42,MRF-Net（单种子 42）,text,0.1,-0.0036747753620147705,-0.010302197802197766,-0.00895208929001734,5.525350570678711e-05,0.5825428068637848,0.5825980603694916
